comment_text,user_id,date_created,num_likes,num_replies,source,clean_comment,evidence_labels,is_evidence
"Wow, congratulations on reaching such an incredible milestone! 🎉 Fifty years of dedication to North Texas is a testament to the quality and trust you bring to the community. The celebration looks like it was a beautiful way to honor everyone who's been part of the journey—especially with that delicious BBQ from Hurtado! 🍖 Here’s to many more years of keeping Texas homes and businesses safe and sound under a Lon Smith roof",100060392475788,"""2024-11-11T10:41:43.000Z""",0,0,facebook,wow congratulations on reaching such an incredible milestone fifty years of dedication to north texas is a testament to the quality and trust you bring to the community the celebration looks like it was a beautiful way to honor everyone whos been part of the journeyespecially with that delicious bbq from hurtado heres to many more years of keeping texas homes and businesses safe and sound under a lon smith roof,[],0
Billie Eilish gets hit in the face by a necklace while performing at Arizona concert,nyp███,"""2024-12-15T15:34:40.000Z""",79,64,twitter,billie eilish gets hit in the face by a necklace while performing at arizona concert,"['violence', 'harassment']",1
Hello husband,pfbid026KZKzgAK7LPCc4rdHeHMxXBityqcnbbLr64qiRCSD9xANTBmJBTTaA13Mf6QfVs7l,"""2023-04-20T14:46:04.000Z""",0,0,facebook,hello husband,[],0
"From breakthrough victories to jaw-dropping comebacks 💪

Lewis Hamilton's top 10 greatest moments for @MercedesAMGF1 👇

#F1",F1,"""2024-12-15T09:23:00.000Z""",1924,42,twitter,from breakthrough victories to jawdropping comebacks lewis hamiltons top greatest moments for mercedesamgf f,[],0
"As a Muslim who wants to invest but interests are haram, so what best way to invest?",⠀⠀ ███ ⠀s███,"""2024-10-03T08:11:29.000Z""",2,2,tiktok,as a muslim who wants to invest but interests are haram so what best way to invest,[],0
"Just switched my internet from AT&T, and I couldn't be happier... bad costumer service bad internet service bad bad bad all around",pfbid0WDSDFkeVYwg6X4K9Uae2xhNnugSM2BiRTd4QXZq2V382YtQnFBRRMGdDcKuiyoS3l,"""2024-04-11T23:16:15.000Z""",0,1,facebook,just switched my internet from att and i couldnt be happier bad costumer service bad internet service bad bad bad all around,['toxic'],1
Love❤️❤️❤️❤️,shi███ato███n,2024-11-24T16:54:37.000Z,1,1,instagram,love,[],0
So I check my bank account today to find out ATT has charged my business account that I’ve had with them for umteen years almost 3000.00!!!!!!!!   What????  So after 2.5 hours on the phone and 2 phone calls later ( the first guy left me on hold for 1.5 hours before hanging up on me ) they saw “ their” mistake and will refund my money…… in 3-5 biz days.  Meanwhile I’m out countless overdraft fees and have other bills to pay.    They get a large amount from me every month as it is for like 12 or more years.  I’m thinking I may need to make a change,pfbid0KaHhbEzyVkuaGqfmi5vFvNRUbrjUjigG9XbHss8M86DjBDGXkve1aoLaoMWvgfSml,"""2024-01-17T22:40:13.000Z""",0,2,facebook,so i check my bank account today to find out att has charged my business account that ive had with them for umteen years almost what so after hours on the phone and phone calls later the first guy left me on hold for hours before hanging up on me they saw their mistake and will refund my money in biz days meanwhile im out countless overdraft fees and have other bills to pay they get a large amount from me every month as it is for like or more years im thinking i may need to make a change,"['toxic', 'harassment']",1
My phone is not working,pfbid0nLGr4bBJPp5rCQRGFQrWaaeZLinxXM9Cp6Uxbe8Lm3GS7u3kKKZDyNzVrpLTYNfgl,"""2023-03-29T20:56:28.000Z""",0,2,facebook,my phone is not working,[],0
Well done!!,pfbid0dDG3ksF1NbaCthwuZfx1tAuzycuhay6nRzvpcb9qZY8uyKnaJAwHJVTaXdrCBFb5l,"""2024-07-31T01:41:21.000Z""",0,0,facebook,well done,[],0
Chay Face 🤏 #Myelhoresdoano #Domingão,tvg███o,"""2024-12-15T22:30:48.000Z""",269,5,twitter,chay face myelhoresdoano domingo,"['harassment', 'violence', 'hate_speech']",1
"UNITED! UNITED! UNITED! 🗣️

🤳 @Snapdragon

#MUFC || #ShotOnSnapdragon",Man███,"""2024-12-15T19:01:26.000Z""",28303,336,twitter,united united united snapdragon mufc shotonsnapdragon,['violence'],1
My love,bea███cot███e20███,2024-08-27T15:01:21.000Z,1,1,instagram,my love,[],0
Cute @shelly.shalom,gab███ala███,2023-09-08T06:03:50.000Z,3,1,instagram,cute shellyshalom,[],0
"56' - GREG TAYLOR EQUALISES!!! ⚽️
 
Follow the action live on our Match Centre 📲",Cel███FC,"""2024-12-15T16:49:51.000Z""",1335,112,twitter,greg taylor equalises follow the action live on our match centre,[],0
‘Yellowstone’ Season 5 series finale reveals Dutton Ranch’s fate — and ends with a major death,nyp███,"""2024-12-16T03:04:00.000Z""",27,9,twitter,yellowstone season series finale reveals dutton ranchs fate and ends with a major death,['violence'],1
❤️❤️❤️❤️❤️❤️❤️❤️❤️,bat███.al███hda███,2024-06-26T12:18:48.000Z,1,1,instagram,,,0
